rows,direction,part,of,file,start,end,pass,varietal,scanid
54,dir2,2,2,2017-06-30_10-01_22179657_10_37.tar.gz,2114.25,2117.65,1,cabernet sauvignon,2017-06-30_10-01
56,dir1,1,1,2017-06-30_10-01_22179657_10_37.tar.gz,2119.95,2144.65,1,cabernet sauvignon,2017-06-30_10-01
56,dir2,1,1,2017-06-30_10-01_22179657_10_37.tar.gz,2147.75,2171.75,1,cabernet sauvignon,2017-06-30_10-01
58,dir1,1,1,2017-06-30_10-01_22179657_10_38.tar.gz,2174.25,2195.6,1,cabernet sauvignon,2017-06-30_10-01
58,dir2,1,1,2017-06-30_10-01_22179657_10_38.tar.gz,2199.55,2231.65,1,cabernet sauvignon,2017-06-30_10-01
60,dir1,1,1,2017-06-30_10-01_22179657_10_39.tar.gz,2235.95,2253.85,1,cabernet sauvignon,2017-06-30_10-01
60,dir2,1,1,2017-06-30_10-01_22179657_10_39.tar.gz,2259.95,2285.8,1,cabernet sauvignon,2017-06-30_10-01
62,dir1,1,2,2017-06-30_10-01_22179657_10_39.tar.gz,2290,2294.2,1,cabernet sauvignon,2017-06-30_10-01
62,dir1,2,2,2017-06-30_10-01_22179657_10_40.tar.gz,2294.25,2309,1,cabernet sauvignon,2017-06-30_10-01
62,dir2,1,1,2017-06-30_10-01_22179657_10_40.tar.gz,2315.65,2342.7,1,cabernet sauvignon,2017-06-30_10-01
64,dir1,1,2,2017-06-30_10-01_22179657_10_40.tar.gz,2346.85,2354.2,1,cabernet sauvignon,2017-06-30_10-01
64,dir1,2,2,2017-06-30_10-01_22179657_10_41.tar.gz,2354.25,2364.65,1,cabernet sauvignon,2017-06-30_10-01
64,dir2,1,1,2017-06-30_10-01_22179657_10_41.tar.gz,2367.1,2399.4,1,cabernet sauvignon,2017-06-30_10-01
66,dir1,1,2,2017-06-30_10-01_22179657_10_41.tar.gz,2404.05,2414.2,1,cabernet sauvignon,2017-06-30_10-01
66,dir1,2,2,2017-06-30_10-01_22179657_10_42.tar.gz,2414.25,2434.35,1,cabernet sauvignon,2017-06-30_10-01
66,dir2,1,2,2017-06-30_10-01_22179657_10_42.tar.gz,2438.7,2474.15,1,cabernet sauvignon,2017-06-30_10-01
66,dir2,2,2,2017-06-30_10-01_22179657_10_43.tar.gz,2474.2,2484.05,1,cabernet sauvignon,2017-06-30_10-01
68,dir1,1,1,2017-06-30_10-01_22179657_10_43.tar.gz,2489.95,2505.8,1,cabernet sauvignon,2017-06-30_10-01
68,dir2,1,2,2017-06-30_10-01_22179657_10_43.tar.gz,2514.7,2534.15,1,cabernet sauvignon,2017-06-30_10-01
68,dir2,2,2,2017-06-30_10-01_22179657_10_44.tar.gz,2534.2,2549.65,1,cabernet sauvignon,2017-06-30_10-01
70,dir1,1,1,2017-06-30_10-01_22179657_10_44.tar.gz,2553.6,2569.65,1,cabernet sauvignon,2017-06-30_10-01
70,dir2,1,2,2017-06-30_10-01_22179657_10_44.tar.gz,2575.2,2594.15,1,cabernet sauvignon,2017-06-30_10-01
70,dir2,2,2,2017-06-30_10-01_22179657_10_45.tar.gz,2594.2,2604.9,1,cabernet sauvignon,2017-06-30_10-01
72,dir1,1,3,2017-06-30_10-01_22179657_10_45.tar.gz,2608.95,2654.15,1,cabernet sauvignon,2017-06-30_10-01
72,dir1,2,3,2017-06-30_10-01_22179657_10_46.tar.gz,2654.2,2714.15,1,cabernet sauvignon,2017-06-30_10-01
72,dir1,3,3,2017-06-30_10-01_22179657_10_47.tar.gz,2714.2,2746.25,1,cabernet sauvignon,2017-06-30_10-01
1,dir1,1,3,2017-06-30_10-01_22179677_10_01.tar.gz,3.1,14.35,1,cabernet sauvignon,2017-06-30_10-01
1,dir1,2,3,2017-06-30_10-01_22179677_10_02.tar.gz,14.4,74.3,1,cabernet sauvignon,2017-06-30_10-01
1,dir1,3,3,2017-06-30_10-01_22179677_10_03.tar.gz,74.35,88.35,1,cabernet sauvignon,2017-06-30_10-01
1,dir2,1,1,2017-06-30_10-01_22179677_10_03.tar.gz,100.2,113.05,1,cabernet sauvignon,2017-06-30_10-01
3,dir1,1,2,2017-06-30_10-01_22179677_10_03.tar.gz,115.25,134.3,1,cabernet sauvignon,2017-06-30_10-01
3,dir1,2,2,2017-06-30_10-01_22179677_10_04.tar.gz,134.35,140.5,1,cabernet sauvignon,2017-06-30_10-01
3,dir2,1,1,2017-06-30_10-01_22179677_10_04.tar.gz,148.75,161.8,1,cabernet sauvignon,2017-06-30_10-01
5,dir1,1,1,2017-06-30_10-01_22179677_10_04.tar.gz,164.2,190.05,1,cabernet sauvignon,2017-06-30_10-01
5,dir2,1,1,2017-06-30_10-01_22179677_10_05.tar.gz,199.55,215.35,1,cabernet sauvignon,2017-06-30_10-01
7,dir1,1,1,2017-06-30_10-01_22179677_10_05.tar.gz,218.1,254.1,1,cabernet sauvignon,2017-06-30_10-01
7,dir2,1,1,2017-06-30_10-01_22179677_10_06.tar.gz,257.65,290.9,1,cabernet sauvignon,2017-06-30_10-01
9,dir1,1,1,2017-06-30_10-01_22179677_10_07.tar.gz,332.7,371.8,1,cabernet sauvignon,2017-06-30_10-01
9,dir2,1,1,2017-06-30_10-01_22179677_10_08.tar.gz,381.15,402.75,1,cabernet sauvignon,2017-06-30_10-01
11,dir1,1,1,2017-06-30_10-01_22179677_10_08.tar.gz,406.1,434.3,1,cabernet sauvignon,2017-06-30_10-01
11,dir2,1,1,2017-06-30_10-01_22179677_10_09.tar.gz,436.95,453.65,1,cabernet sauvignon,2017-06-30_10-01
13,dir1,1,1,2017-06-30_10-01_22179677_10_09.tar.gz,461.15,485.5,1,cabernet sauvignon,2017-06-30_10-01
13,dir2,1,2,2017-06-30_10-01_22179677_10_09.tar.gz,487.75,494.3,1,cabernet sauvignon,2017-06-30_10-01
13,dir2,2,2,2017-06-30_10-01_22179677_10_10.tar.gz,494.35,504.9,1,cabernet sauvignon,2017-06-30_10-01
15,dir1,1,1,2017-06-30_10-01_22179677_10_10.tar.gz,510.45,536.1,1,cabernet sauvignon,2017-06-30_10-01
15,dir2,1,2,2017-06-30_10-01_22179677_10_10.tar.gz,538.4,554.3,1,cabernet sauvignon,2017-06-30_10-01
15,dir2,2,2,2017-06-30_10-01_22179677_10_11.tar.gz,554.35,567,1,cabernet sauvignon,2017-06-30_10-01
17,dir1,1,1,2017-06-30_10-01_22179677_10_11.tar.gz,570.75,606.45,1,cabernet sauvignon,2017-06-30_10-01
17,dir2,1,1,2017-06-30_10-01_22179677_10_12.tar.gz,614.75,637.7,1,cabernet sauvignon,2017-06-30_10-01
